"Grid_Point
Latitude","Grid_Point
Longitude",Date,ERA5_RAIN (mm)
22.6,75.7,19-10-2005,0.003
22.6,75.8,19-10-2005,0.003
22.6,75.9,19-10-2005,0.0026
22.6,76,19-10-2005,0.0026
22.6,76.1,19-10-2005,0.0026
22.7,75.7,19-10-2005,0.0026
22.7,75.8,19-10-2005,0.0026
22.7,75.9,19-10-2005,0.0026
22.7,76,19-10-2005,0.0026
22.7,76.1,19-10-2005,0.0026
22.8,75.7,19-10-2005,0.0026
22.8,75.8,19-10-2005,0.0026
22.8,75.9,19-10-2005,0.0026
22.8,76,19-10-2005,0.0026
22.8,76.1,19-10-2005,0.0026
22.6,75.7,20-10-2005,0.0004
22.6,75.8,20-10-2005,0.0004
22.6,75.9,20-10-2005,0.0004
22.6,76,20-10-2005,0.0004
22.6,76.1,20-10-2005,0.0004
22.7,75.7,20-10-2005,0.0004
22.7,75.8,20-10-2005,0.0004
22.7,75.9,20-10-2005,0.0004
22.7,76,20-10-2005,0.0004
22.7,76.1,20-10-2005,0.0004
22.8,75.7,20-10-2005,0.0004
22.8,75.8,20-10-2005,0.0004
22.8,75.9,20-10-2005,0.0004
22.8,76,20-10-2005,0.0004
22.8,76.1,20-10-2005,0.0004
22.6,75.7,21-10-2005,0.0013
22.6,75.8,21-10-2005,0.0013
22.6,75.9,21-10-2005,0.0013
22.6,76,21-10-2005,0.0013
22.6,76.1,21-10-2005,0.0013
22.7,75.7,21-10-2005,0.0013
22.7,75.8,21-10-2005,0.0013
22.7,75.9,21-10-2005,0.0013
22.7,76,21-10-2005,0.0013
22.7,76.1,21-10-2005,0.0013
22.8,75.7,21-10-2005,0.0013
22.8,75.8,21-10-2005,0.0013
22.8,75.9,21-10-2005,0.0013
22.8,76,21-10-2005,0.0013
22.8,76.1,21-10-2005,0.0013
22.6,75.7,22-10-2005,0.0004
22.6,75.8,22-10-2005,0.0004
22.6,75.9,22-10-2005,0.0004
22.6,76,22-10-2005,0.0004
22.6,76.1,22-10-2005,0.0004
22.7,75.7,22-10-2005,0.0004
22.7,75.8,22-10-2005,0.0004
22.7,75.9,22-10-2005,0.0004
